Site,Camera,SiteCam,Grid Cell,Lat,Long,C1,C2,C3,C4,C5,C6,C7,C8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,B1,B2,B3,B4,B5,B6,B7,B8,Grid Cell,Site_ID,forest,development,open_and_farm,water_wetlands,CR_km,MR_km,SR_km,TR_km,Total_length_km,Days_start_S1,Days_start_S2,Days_start_S3,Days_start_S4,Days_start_S5,Days_start_S6,Days_start_S7,Days_start_S8,Length1,Length2,Length3,Length4,Length5,Length6,Length7,Length8
WNFA,28,WNFA28,28NW,39.53226001,-82.17771602,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28NW,28NW,0.9161,0.0839,0,0,0,0,1.0007,0,1.0007,163,173,181,194,209,220,232,246,10,8,13,15,11,12,14,11
WNFA,29,WNFA29,29NE,39.52846502,-82.20672403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,29NE,29NE,0.8622,0.0299,0.1079,0,0.4227,0,0,0,0.4227,163,173,181,194,206,218,230,245,10,8,13,12,12,12,15,11
WNFA,31,WNFA31,29SW,39.51695298,-82.22588204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29SW,29SW,0.9269,0.0457,0.0274,0,0,0,0,0.7664,0.7664,163,174,182,195,208,219,231,247,10,8,13,13,11,12,16,11
WNFA,30,WNFA30,30SW,39.52338299,-82.24671601,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30SW,30SW,0.9391,0.0609,0,0,0,0,0,1.531,1.531,166,174,182,195,208,219,231,247,8,8,13,13,11,12,16,11
WNFA,32,WNFA32,32SE,39.54100401,-82.223761,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,32SE,32SE,0.9324,0.0389,0.0286,0,0,0,0,1.0147,1.0147,163,173,181,194,206,218,230,245,10,8,13,12,12,12,15,11
WNFA,33,WNFA33,33NW,39.55367904,-82.25806796,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33NW,33NW,0.8834,0.0823,0,0.0343,0,0,0.7834,0.1508,0.9342,166,174,182,195,208,219,231,247,8,8,13,13,11,12,16,11
WNFA,63,WNFA63,33SE,39.53875397,-82.25546697,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33SE,33SE,0.8398,0.087,0.0732,0,0,0,0,1.6,1.6,166,174,182,195,208,219,231,247,8,8,13,13,11,12,16,11
WNFA,34,WNFA34,34NE,39.57362697,-82.20323003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34NE,34NE,0.9127,0.07,0.0172,0,0.1778,0,0,1.5619,1.7397,166,174,182,195,208,219,231,247,8,8,13,13,11,12,16,11
WNFA,35,WNFA35,34SW,39.55532298,-82.21027996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34SW,34SW,0.8852,0.0953,0.0195,0,0,0,0.9675,0.4973,1.4649,166,174,182,195,208,219,231,247,8,8,13,13,11,12,16,11
ALES,56,ALES56,36NW,39.64255798,-81.39978798,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36NW,36NW,0.953,0.047,0,0,0,0,0,1.1083,1.1083,166,172,180,191,204,216,227,241,8,8,11,13,12,11,14,12
ALES,36,ALES36,36SE,39.62393397,-81.37622402,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,36SE,36SE,0.9061,0.0607,0.0332,0,0,0,0,1.0823,1.0823,164,172,180,191,204,216,227,241,8,8,11,13,12,11,14,12
ALES,62,ALES62,36SW,39.62099402,-81.38905898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36SW,36SW,0.9577,0.0423,0,0,0,0,0,0.828,0.828,164,172,180,191,204,216,227,241,8,8,11,13,12,11,14,12
ALES,58,ALES58,37NE,39.66041302,-81.40206601,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37NE,37NE,0.9553,0,0.0447,0,0,0,0,1.192,1.192,164,172,180,191,204,216,227,241,8,8,11,13,12,11,14,12
ALES,37,ALES37,37SE,39.64255798,-81.39978798,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37SE,37SE,0.9268,0.0732,0,0,0,0,0,1.6354,1.6354,164,172,180,191,204,216,227,241,8,8,11,13,12,11,14,12
WNFM,59,WNFM59,38NE,39.50976298,-81.13833304,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,38NE,38NE,0.8971,0.088,0.0149,0,0,0,0,0.5233,0.5233,164,177,186,198,212,224,237,251,8,9,12,14,12,13,14,9
WNFM,38,WNFM38,38SW,39.49581399,-81.146711,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,38SW,38SW,0.9977,0.0023,0,0,0,0,0,0.5532,0.5532,168,177,186,198,212,224,237,251,9,9,12,14,12,13,14,9
WNFM,39,WNFM39,39NE,39.50403,-81.16747,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,39NE,39NE,0.9634,0.0366,0,0,0,0,0,0.9741,0.9741,168,177,186,198,212,224,237,251,9,9,12,14,12,13,14,9
WNFM,41,WNFM41,41NE,39.52429502,-81.15122298,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,41NE,41NE,0.9396,0.0604,0,0,0,0,0,1.0949,1.0949,168,177,187,198,212,223,237,250,9,10,11,14,11,14,13,9
WNFM,61,WNFM61,41SW,39.51114801,-81.15715301,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,41SW,41SW,0.953,0.047,0,0,0,0,0,1.0647,1.0647,168,177,186,198,212,224,237,251,9,9,12,14,12,13,14,9
WNFM,42,WNFM42,42NE,39.54363,-81.1354,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42NE,42NE,0.9201,0.0799,0,0,0,0,0,2.0447,2.0447,168,177,187,198,212,223,237,250,9,10,11,14,11,14,13,9
WNFM,44,WNFM44,43NW,39.54669097,-81.18133899,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,43NW,43NW,0.866,0.0951,0.0389,0,0,0,0.536,1.2763,1.8123,168,177,187,198,212,223,237,250,9,10,11,14,11,14,13,9
WNFM,43,WNFM43,43SW,39.53581704,-81.179012,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,43SW,43SW,0.8222,0.0459,0.1319,0,0,0,0,0.9775,0.9775,168,177,187,198,212,223,237,250,9,10,11,14,11,14,13,9
AEP,47,AEP47,45SE,39.69933196,-81.72947296,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45SE,45SE,0.7411,0.1346,0.0598,0.0644,0.2818,0,1.0835,0,1.3653,168,175,185,197,211,222,235,249,9,10,12,14,11,13,14,10
AEP,45,AEP45,45SW,39.69573,-81.73804,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,45SW,45SW,0.6246,0.1366,0.2331,0.0057,0.8216,0,1.066,0.245,2.1326,165,175,185,197,211,222,233,249,10,10,12,14,11,11,16,10
AEP,60,AEP60,46NE,39.71500201,-81.76229498,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,46NE,46NE,0.7666,0.0412,0.1831,0.0092,0,0,0,0.1092,0.1092,165,175,185,197,211,222,233,249,10,10,12,14,11,11,16,10
AEP,46,AEP46,46SE,39.69826503,-81.76624303,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,46SE,46SE,0.9314,0.0229,0.0195,0.0263,0,0,0,0.346,0.346,165,175,185,197,211,222,233,249,10,10,12,14,11,11,16,10
AEP,64,AEP64,49NE,39.73221601,-81.70669204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49NE,49NE,0.6331,0.1486,0.208,0.0103,0,0,0.5543,0,0.5543,165,174,183,196,210,221,235,248,10,9,13,14,11,14,13,10
AEP,49,AEP49,49SE,39.71342202,-81.71554903,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,49SE,49SE,0.6926,0.1303,0.176,0.0011,0,0,0.9756,0,0.9756,165,174,183,196,210,221,235,248,9,9,13,14,11,14,13,10
AEP,50,AEP50,50SW,39.72016199,-81.75903702,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,50SW,50SW,0.7858,0.0527,0.1615,0,0,0,0,0.7964,0.7964,165,175,185,197,211,222,233,249,10,10,12,14,11,11,16,10
AEP,51,AEP51,51SW,39.71927703,-81.79319998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51SW,51SW,0.9485,0.0378,0.0057,0.008,0,0,0,0.9527,0.9527,165,175,185,197,211,222,233,249,10,10,12,14,11,11,16,10
AEP,54,AEP54,54SE,39.73563398,-81.73196096,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,54SE,54SE,0.7803,0.0618,0.0389,0.119,0,0,0.4096,0,0.4096,165,174,183,196,210,221,235,248,9,9,13,14,11,14,13,10
AEP,57,AEP57,57NW,39.77263204,-81.76060502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57NW,57NW,0.9163,0.0367,0.047,0,0.9701,0,0,0,0.9701,165,174,183,196,210,221,233,248,9,9,13,14,11,12,15,10
AEP,65,AEP65,57SE,39.75321502,-81.74560502,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,57SE,57SE,0.9163,0.0791,0,0.0046,0,0,1.0156,0,1.0156,165,174,183,196,210,221,233,248,9,9,13,14,11,12,15,10
